评论,地区,日期,点赞,情绪
宝宝晚上好！我真的超级想你诶！🥺时间过得好快11月都过半了ॱଳ͘  一直没来得及但是还是先来祝我的好宝贝11月顺顺利利～很喜欢宝贝的舞台，每天都在反复观看😆新生代歌手马嘉祺做得好！🎤真的很令人骄傲😘很高兴见到你🙌🏻下周日见！晚安！🌙🥰,新加坡,Thu Nov 17 15:35:19 +0800 2022,7889,happiness
宝宝来啦！夸一万次都不够😭唱歌好好听😭宝宝永远在舞台上发光发热✨永远有人支持你，永远有人爱你～💜我一直都在🫶🏻以后经常唱给我们听！我们的约定！💍也为宝宝认识了很多优秀的前辈感到骄傲！有多少努力就有多少光芒💫🥰你就是我特别的存在。小马做得好！૮ ˃̵ ֊ ˂̵  ა,新加坡,Thu Nov 17 15:35:35 +0800 2022,6556,like
嘉祺你来啦🥳前一段时间的一场雨过后🌧️树叶就开始在大地作画了🍁在绿草的衬托下显得格外艳丽😍看到这个场景就突然想到《落叶归根》🎶不知道还有没有机会听哥哥唱这首歌🎤真的好想听喔🥺哥哥最近有听到什么好听的歌曲吗🤔期待哥哥给我们分享歌单呀😘,北京,Thu Nov 17 15:35:40 +0800 2022,5833,happiness
宝宝天气冷了，要记得保暖哦,安徽,Thu Nov 17 15:35:15 +0800 2022,4723,happiness
天呐宝宝来啦！我好想你😭来给妈咪嘴一个ฅ˙Ⱉ˙ฅ期待周日的宝贝！最近好累但是有你足矣🙌🏻🥺听你唱歌很幸福🎤晚安我的小月亮🌙,新加坡,Thu Nov 17 15:35:12 +0800 2022,4157,like
宝宝宝宝！,吉林,Thu Nov 17 15:35:20 +0800 2022,3702,surprise
哎呀嘉祺宝宝来啦，好想你呀！宝宝最近过得很充实吧，但也要注意休息哦，要记得按时吃饭，天冷多加衣！太期待宝宝的话剧表演和我歌新舞台啦，夸夸我的全能宝儿！嘉祺继续享受舞台和生活吧，我们会一直喜欢你！💜爱你,山东,Thu Nov 17 15:37:12 +0800 2022,3452,like
要跟哥哥报告：想听哥哥出来唱歌，说过要经常唱歌给我们听的，可都记着呐，多多更新唱歌视频哦，不忙的唱给我们听可以吗？最喜欢哥哥啦拉钩呀～,湖北,Thu Nov 17 15:36:58 +0800 2022,3278,happiness
嘉祺好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅,陕西,Thu Nov 17 15:35:46 +0800 2022,2631,like
期待哥哥的话剧,天津,Thu Nov 17 15:36:28 +0800 2022,2509,like
如果可以的话！！下次可不可以唱《人类不宜飞行》《高山低谷》《路过人间》《解决一切的方式》《给电影人的情书》《地尽头》😭😭😭😭😭爱你宝宝,陕西,Thu Nov 17 15:35:59 +0800 2022,2190,anger
💜嘉祺宝宝来啦，好想你！宝宝的新歌唱得太好听了！看到你的话剧彩排照了，露额头穿正装好帅，演出顺利呀！周末又可以看到宝宝的新舞台啦，白西装太帅啦，激动！最近宝宝过得很充实吧，不见面的日子我们都要好好生活，活在当下，一起加油努力吧！天冷多加衣呀！爱你,山东,Thu Nov 17 15:37:04 +0800 2022,2116,like
第一,河南,Thu Nov 17 15:35:14 +0800 2022,2023,surprise
老公大人，请发唱歌小视频！,北京,Thu Nov 17 15:35:55 +0800 2022,1736,happiness
谁能看到我宝发的什么表情,广东,Thu Nov 17 15:35:36 +0800 2022,1553,anger
❄️已经立冬啦宝宝！天气越来越冷了，不管训练还是上课都要注意保暖，不要生病啦！😋节目里唱的歌麻麻都好喜欢🥰🥰🥰舞台上的马嘉祺超级耀眼超级棒，歌手马嘉祺一直唱下去吧🙌🏻🙌🏻🙌🏻,四川,Thu Nov 17 15:38:21 +0800 2022,1278,anger
老公好帅,陕西,Thu Nov 17 15:35:12 +0800 2022,1323,like
帅气宝宝！！！！！！！,河北,Thu Nov 17 15:35:32 +0800 2022,1199,anger
看夕阳！！！,山西,Thu Nov 17 15:35:42 +0800 2022,1089,surprise
宝宝！明天话剧演出一切顺利呀！,黑龙江,Thu Nov 17 15:38:04 +0800 2022,1079,happiness
老公！！！！！这张图一定要给你看呜呜呜呜呜！！！！,吉林,Thu Nov 17 15:37:03 +0800 2022,963,sadness
期待哥哥明天的话剧！宝贝你能告诉我你发了什么表情吗？本安卓机看不到,广东,Thu Nov 17 15:38:36 +0800 2022,893,like
宝宝下午好！,河南,Thu Nov 17 15:35:09 +0800 2022,734,happiness
我草老公,广东,Thu Nov 17 15:35:17 +0800 2022,691,anger
啊啊啊啊啊啊啊,河南,Thu Nov 17 15:36:16 +0800 2022,608,anger
宝宝🥰🥰,河北,Thu Nov 17 15:35:08 +0800 2022,546,surprise
宝宝宝宝宝宝我来了！是不是有在认真准备生日惊喜,江苏,Thu Nov 17 15:36:26 +0800 2022,538,surprise
下午好哥哥,广东,Thu Nov 17 15:37:47 +0800 2022,437,like
老公,湖北,Thu Nov 17 15:35:52 +0800 2022,444,anger
我要亲死他🔥别管我了🥵我要亲死他🔥别管我了🥵我要亲死他🔥别管我了🥵我要亲死他🔥别管我了🥵我要亲死他🔥别管我了🥵我要亲死他🔥别管我了🥵我要亲死他🔥别管我了🥵我要亲死他🔥别管我了,山东,Thu Nov 17 15:36:05 +0800 2022,411,anger
帅哥！！！！！我对你的爱就像拖拉机上山，轰轰烈烈，轰隆隆轰隆隆地德隆呛噼里啪啦稀里哗啦丁玲咣啷轰隆隆轰隆隆地德隆呛噼里啪啦稀里哗啦丁玲咣啷轰隆隆轰隆隆地德隆呛噼里啪啦稀里哗啦丁玲咣啷轰隆隆轰隆隆地德隆呛噼里啪啦稀里哗啦丁玲咣啷轰隆隆轰隆隆稀里哗啦叮铃咣啷地德隆呛噼里啪啦稀里哗啦玲,浙江,Thu Nov 17 15:36:09 +0800 2022,252,like
宝贝你来啦🥳最近过得怎么样🥺宝贝要天天开心喔☺️希望哥哥不忙的时候可以给我们录一个唱歌小视频🎤很想念你😭永远爱你！,黑龙江,Thu Nov 17 15:37:44 +0800 2022,258,like
🥳我的小茄比要天天开心 每天大吃特吃 长点肉肉🌈好想你啊🥺想听宝宝唱歌🥺宝宝安排一下不？,天津,Thu Nov 17 15:38:59 +0800 2022,212,like
宝贝,湖北,Thu Nov 17 15:35:50 +0800 2022,212,like
宝贝又见面啦~,山西,Thu Nov 17 15:36:16 +0800 2022,196,like
帅死了宝贝! !,河南,Thu Nov 17 15:35:45 +0800 2022,128,like
啊啊啊啊啊啊啊啊老公下午好[干饭人][干饭人][干饭人],浙江,Thu Nov 17 15:35:28 +0800 2022,117,anger
宝宝的文案呢,江苏,Thu Nov 17 15:35:48 +0800 2022,125,anger
宝贝你终于发微博了，你知道吗？昨天下午我被人骂了，她们说我往楼下滴水，把阳台上晾的衣服都打湿了，只有我知道那不是水，是我趴在阳台上想你流的眼泪。,山东,Thu Nov 17 15:38:30 +0800 2022,116,anger
小马做得好！我爱你！🥰😘,新加坡,Thu Nov 17 15:37:24 +0800 2022,103,like
宝贝好帅,福建,Thu Nov 17 15:35:44 +0800 2022,81,like
我不管，我就是第一个,广东,Thu Nov 17 15:36:37 +0800 2022,101,anger
老公！回复上条微博！想听葡萄成熟时,浙江,Thu Nov 17 15:38:47 +0800 2022,83,like
靠！,河南,Thu Nov 17 15:35:47 +0800 2022,56,anger
老公！爱你,湖南,Thu Nov 17 15:35:35 +0800 2022,59,like
老公好帅,福建,Thu Nov 17 15:35:34 +0800 2022,59,like
太帅啦,江苏,Thu Nov 17 15:35:44 +0800 2022,43,like
嘉祺你来啦,陕西,Thu Nov 17 15:35:22 +0800 2022,40,anger
好帅,贵州,Thu Nov 17 15:35:43 +0800 2022,32,like
嘉祺下午好呀，决赛加油，话剧演出顺利。,福建,Thu Nov 17 15:38:21 +0800 2022,38,happiness
好想你啊,甘肃,Thu Nov 17 15:38:24 +0800 2022,41,like
嘉祺老公好想你,贵州,Thu Nov 17 15:35:28 +0800 2022,28,happiness
哥哥,山东,Thu Nov 17 15:35:35 +0800 2022,29,sadness
老公😘😘,河北,Thu Nov 17 15:35:32 +0800 2022,26,anger
帅死啦！老公,湖南,Thu Nov 17 15:35:22 +0800 2022,21,anger
啊啊啊老公,山西,Thu Nov 17 15:35:14 +0800 2022,22,anger
老公,河北,Thu Nov 17 15:35:23 +0800 2022,15,anger
呜呜呜你怎么这么好啊哥哥,天津,Thu Nov 17 16:52:39 +0800 2022,16,sadness
老公你来啦,浙江,Thu Nov 17 15:35:43 +0800 2022,13,anger
我天我好懵，宝贝你发这么勤真好,河北,Thu Nov 17 15:38:32 +0800 2022,11,like
哇哦，帅气小马,辽宁,Thu Nov 17 15:35:38 +0800 2022,11,like
hi下午好嘉祺,浙江,Thu Nov 17 15:35:33 +0800 2022,10,happiness
老公老公,中国台湾,Thu Nov 17 15:38:21 +0800 2022,12,anger
老公明天话剧演出顺利！！,广东,Thu Nov 17 15:38:33 +0800 2022,13,happiness
好帅,内蒙古,Thu Nov 17 15:35:22 +0800 2022,12,like
小鼓手来啦！话剧和盛典都加油噢～宝宝你是最棒的！会做你最忠实的观众和听众🥳🥳,福建,Thu Nov 17 15:57:46 +0800 2022,6,like
我好早！！！！,四川,Thu Nov 17 15:35:34 +0800 2022,9,sadness
爸爸,重庆,Thu Nov 17 15:35:33 +0800 2022,10,happiness
来啦,河南,Thu Nov 17 15:35:42 +0800 2022,7,anger
老公,湖南,Thu Nov 17 15:35:34 +0800 2022,7,anger
帅哥,江苏,Thu Nov 17 15:35:32 +0800 2022,5,like
老公,黑龙江,Thu Nov 17 15:35:28 +0800 2022,5,anger
宝贝！,河南,Thu Nov 17 15:35:22 +0800 2022,5,like
帅死了,海南,Thu Nov 17 15:35:22 +0800 2022,4,fear
老公老公,重庆,Thu Nov 17 15:35:18 +0800 2022,4,anger
你太帅了！！！！,河南,Thu Nov 17 15:36:53 +0800 2022,5,like
马嘉祺！好想你,福建,Thu Nov 17 15:35:21 +0800 2022,5,sadness
宝贝辛苦了，真的，无论这几天还是这几年。心疼你,广西,Thu Nov 17 23:37:01 +0800 2022,2,sadness
嘉祺下午好啊,新疆,Thu Nov 17 15:42:27 +0800 2022,5,happiness
哎呀我们的可爱小马来啦，好想你呀！宝宝最近过得很充实吧，但也要注意休息哦，要记得按时吃饭，天冷多加衣！太期待宝宝的话剧表演和我歌新舞台啦，夸夸我的全能宝儿！嘉祺继续享受舞台和生活吧，我们会一直喜欢你！💜爱你,安徽,Thu Nov 17 15:41:46 +0800 2022,4,like
想听会呼吸的痛,河南,Thu Nov 17 15:35:48 +0800 2022,5,sadness
宝宝下午好,河南,Thu Nov 17 15:35:17 +0800 2022,6,happiness
宝宝宝宝你真帅,浙江,Thu Nov 17 15:50:13 +0800 2022,4,like
天气越来越冷啦，宝宝要多添点衣服，注意保暖！本周日就可以看到宝宝的舞台啦！真的好期待好期待的,福建,Thu Nov 17 19:32:01 +0800 2022,4,anger
宝,河南,Thu Nov 17 15:41:54 +0800 2022,3,surprise
马嘉祺,河南,Thu Nov 17 15:35:14 +0800 2022,3,anger
呜好帅啊～宝宝🫡,河南,Thu Nov 17 16:33:00 +0800 2022,5,like
宝宝,广东,Fri Nov 18 00:35:08 +0800 2022,7,surprise
宝宝给你看月亮,安徽,Thu Nov 17 15:44:46 +0800 2022,2,like
嘉祺你来啦👋真的好想你呀💖现在已经步入十一月啦，很期待你给我们准备的惊喜🎁在兼顾学业与工作的同时要好好照顾自己🤗你没有出现的日子我也在好好生活💜很快就能看到你的话剧演出啦，希望演出能一切顺利👏也希望接下来我们都能开心快乐的迎接每一天🎊爱你宝宝😚,广东,Thu Nov 17 15:44:43 +0800 2022,2,sadness
好帅啊宝贝,河北,Thu Nov 17 15:43:55 +0800 2022,3,like
下午好哇！,江苏,Thu Nov 17 15:35:53 +0800 2022,0,happiness
帅哥你好,河南,Thu Nov 17 15:35:44 +0800 2022,2,like
马哥,贵州,Thu Nov 17 15:35:32 +0800 2022,0,surprise
老公下午好！,黑龙江,Thu Nov 17 15:35:25 +0800 2022,3,happiness
