评论,地区,日期,点赞,情绪
,上海,Mon Nov 07 16:42:27 +0800 2022,5578,anger
一直都不知道他结婚了、,辽宁,Sun Nov 06 20:16:18 +0800 2022,10239,surprise
天啊，儿子都一岁啦,上海,Sun Nov 06 20:15:32 +0800 2022,4122,surprise
才知道白冰结婚了,天津,Sun Nov 06 20:45:29 +0800 2022,2768,sadness
竟然已婚！,北京,Sun Nov 06 20:35:17 +0800 2022,1282,surprise
居然结婚了！取关！再见哈哈,山东,Sun Nov 06 22:18:38 +0800 2022,895,happiness
这一条微博碎了几万少女的梦。,山东,Sun Nov 06 21:49:48 +0800 2022,648,fear
他不是一直说自己单身吗,吉林,Sun Nov 06 20:44:31 +0800 2022,333,anger
你老婆啥情况双眼不敢对着镜头,广东,Sun Nov 06 23:09:41 +0800 2022,334,sadness
冰哥闷声干大事！祝宝宝生日快乐！健康成长！🎂🎂,江苏,Sun Nov 06 22:05:44 +0800 2022,313,like
这是白冰儿子吗？,湖北,Sun Nov 06 20:55:32 +0800 2022,180,surprise
你这保密工作做的挺好啊,河北,Sun Nov 06 21:03:49 +0800 2022,148,like
官宣儿子了？,江苏,Sun Nov 06 20:16:49 +0800 2022,169,disgust
爷青结,福建,Sun Nov 06 20:34:00 +0800 2022,118,sadness
应该是没有拍美女后那个时候应该就有喜了，转型做了美食,湖南,Mon Nov 07 09:55:31 +0800 2022,126,like
嫂子真俊,河北,Sun Nov 06 20:24:55 +0800 2022,83,like
恭喜恭喜，居然闷不吭声当爹了,河南,Sun Nov 06 20:23:34 +0800 2022,60,happiness
不会只有我现在才知道他结婚了吧,河北,Sun Nov 06 20:50:11 +0800 2022,56,sadness
快撒花🎉,广东,Sun Nov 06 20:16:10 +0800 2022,48,surprise
下次聊聊呗想听,上海,Sun Nov 06 21:43:34 +0800 2022,35,disgust
这名字咋这么像小说猪脚的呢,湖南,Mon Nov 07 07:30:50 +0800 2022,32,surprise
理解。我只是看他吃饭而已。家庭私事 有啥好关注的。人家又比你们有钱,福建,Mon Nov 07 17:54:07 +0800 2022,25,disgust
生日快乐🎂,广东,Sun Nov 06 20:41:57 +0800 2022,32,happiness
真的是你的孩子啊，什么时候结婚的,辽宁,Sun Nov 06 20:25:24 +0800 2022,33,anger
恭喜大哥 ,陕西,Sun Nov 06 21:56:02 +0800 2022,26,happiness
,安徽,Mon Nov 07 08:46:28 +0800 2022,25,anger
姐姐好好看！！！！！！,四川,Sun Nov 06 23:28:24 +0800 2022,19,happiness
我早感觉到冰哥结婚了！我做过梦，他在梦里给我们介绍这是嫂子带了个孩子,广东,Sun Nov 06 21:55:37 +0800 2022,16,happiness
啥？！,海南,Sun Nov 06 20:16:17 +0800 2022,12,anger
爷青结,广西,Sun Nov 06 20:59:52 +0800 2022,16,sadness
看戒指就知道结婚了呀 有什么奇怪的 专注自己的事业不挺好的嘛,湖南,Mon Nov 07 19:54:54 +0800 2022,18,disgust
天呐,安徽,Mon Nov 07 16:25:02 +0800 2022,6,sadness
我怎么感觉白冰要好看一点是我审美有问题吗,上海,Mon Nov 07 10:22:59 +0800 2022,3,like
,北京,Mon Nov 07 01:36:52 +0800 2022,12,anger
冰哥偷摸的孩子都一岁了,河北,Mon Nov 07 00:32:09 +0800 2022,7,disgust
不会吧,上海,Sun Nov 06 20:19:30 +0800 2022,9,disgust
,广东,Sun Nov 06 20:15:59 +0800 2022,5,anger
哇噻哦生日快乐,广东,Sun Nov 06 20:14:51 +0800 2022,9,happiness
官宣儿子就一岁了,辽宁,Sun Nov 06 20:57:40 +0800 2022,5,disgust
冰哥啥时候出一个和嫂子的情感故事,广东,Wed Nov 09 10:50:26 +0800 2022,2,like
恭喜恭喜，大嫂好漂亮啊,广东,Sun Nov 06 22:57:13 +0800 2022,7,happiness
